Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
32,Carlos Gonzalez,,,,,"$380,000.00",,"$403,000.00","$406,000.00","$1,428,571.00","$5,050,000.00","$7,550,000.00","$10,500,000.00","$16,050,000.00","$17,050,000.00","$20,000,000.00","$8,000,000.00","$539,950.00",,,,,,,,,,,,,,,,,,,,,"$87,357,521"
33,Jeff Clement,,,,,,,,,,"$480,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$480,000"
34,Scott Olsen,,,"$316,000.00","$327,000.00","$380,000.00","$405,000.00","$2,800,000.00","$1,000,000.00","$450,000.00","$100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,778,000"
35,Joel Zumaya,,,,"$327,000.00","$410,000.00","$420,000.00","$735,000.00","$915,000.00","$1,400,000.00","$850,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,057,000"
36,Mike Pelfrey,,,,"$3,975,000.00","$425,000.00","$425,000.00","$425,000.00","$500,000.00","$3,925,000.00","$5,687,500.00","$4,000,000.00","$5,500,000.00","$5,500,000.00","$8,000,000.00","$8,535,000.00",,,,,,,,,,,,,,,,,,,,,,,"$46,897,500"
37,Jonathan Papelbon,,,,"$335,400.00","$450,500.00","$800,000.00","$6,300,000.00","$9,350,000.00","$12,000,000.00","$11,000,058.00","$13,000,000.00","$13,000,000.00","$13,000,000.00","$8,000,000.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$90,235,958"
38,Homer Bailey,,,,,"$380,000.00","$390,000.00","$400,500.00","$418,000.00","$441,000.00","$2,500,000.00","$5,350,000.00","$9,000,000.00","$10,000,000.00","$18,000,000.00","$19,000,000.00","$21,000,000.00","$23,000,000.00","$7,592,593.00",,,,,,,,,,,,,,,,,,,,"$117,472,093"
39,Phil Hughes,,,,,"$380,000.00","$406,350.00","$407,650.00","$447,000.00","$2,700,000.00","$3,200,000.00","$7,150,000.00","$8,500,000.00","$9,200,000.00","$9,200,000.00","$13,200,000.00","$13,200,000.00","$13,200,000.00",,,,,,,,,,,,,,,,,,,,,"$81,191,000"
40,Anibal Sanchez,,,,"$176,913.00","$70,788.00","$390,000.00","$400,000.00","$1,250,000.00","$3,700,000.00","$8,000,000.00","$12,000,000.00","$15,000,000.00","$16,000,000.00","$16,000,000.00","$16,000,000.00","$6,403,226.00","$10,000,000.00","$5,148,148.00","$4,000,000.00","$2,000,000.00",,,,,,,,,,,,,,,,,,"$116,539,075"
41,Anthony Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
42,Russell Martin,,,,,"$387,500.00","$500,000.00","$3,900,000.00","$5,050,000.00","$4,075,000.00","$7,500,000.00","$8,500,000.00","$8,500,000.00","$7,000,000.00","$15,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00",,,,,,,,,,,,,,,,,,,,,"$120,412,500"
