Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
67,Tyler Austin,,,,,,,,,,,,,"$141,423.00","$80,271.00","$420,420.00","$468,661.00",,,,,,,"$1,250,000.00",,,,,,,,,,,,,,,,,"$2,360,775"
68,Anthony Gose,,,,,,,,,,"$166,010.00","$297,814.00","$515,000.00","$525,000.00",,,,,"$39,871.00","$702,900.00",,"$69,888.00",,,,,,,,,,,,,,,,,,,"$2,316,483"
69,Robbie Erlin,,,,,,,,,,"$144,590.00","$471,418.00","$55,464.00","$516,400.00","$545,500.00","$650,000.00","$1,450,000.00","$373,140.00",,"$15,385.00",,,,,,,,,,,,,,,,,,,,,"$4,221,897"
70,Trevor May,,,,,,,,,,,"$139,344.00","$493,278.00","$545,000.00","$555,000.00","$650,000.00","$900,000.00","$816,667.00","$8,000,000.00","$7,750,000.00","$7,125,000.00",,,,,,,,,,,,,,,,,,,,"$26,974,289"
71,A.J. Cole,,,,,,,,,,,,"$124,795.00","$122,012.00","$166,611.00","$546,255.00","$555,000.00","$208,703.00","$795,648.00",,,,,,,,,,,,,,,,,,,,,,"$2,519,024"
72,Justin Nicolino,,,,,,,,,,,,"$177,486.00","$246,797.00","$289,377.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$713,660"
73,Eddie Butler,,,,,,,,,,,,"$250,573.00","$268,981.00","$535,000.00","$570,750.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,625,304"
74,Nick Franklin,,,,,,,,,,"$337,377.00","$845,710.00","$298,722.00","$191,337.00","$333,222.00","$427,780.00",,,,,,,,,,,,,,,,,,,,,,,,,"$2,434,148"
75,Zach Lee,,,,,,,,,,,,"$16,639.00","$8,319.00","$535,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$559,958"
76,Bubba Starling,,,,,,,,,,,,,,"$108,151.00",,"$238,720.00","$210,463.00",,,,,,,,,,,,,,,,,,,,,,,"$557,334"
77,Alen Hanson,,,,,,,,,,,,,"$105,374.00","$716,082.00","$457,080.00","$86,536.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,365,072"
78,Tommy Joseph,,,,,,,,,,,,,"$507,500.00","$543,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,050,500"
79,Jose Berrios,,,,,,,,,,,,,"$205,202.00","$535,000.00","$570,000.00","$620,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,930,202"
80,Tyrell Jenkins,,,,,,,,,,,,,"$227,386.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$227,386"
81,Matt Szczur,,,,,,,,,"$480,000.00",,"$117,486.00","$244,524.00","$511,500.00","$648,599.00","$950,000.00","$950,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$3,902,109"
82,Joe Ross,,,,,,,,,,,,"$257,909.00","$514,400.00","$433,584.00","$567,900.00","$704,256.00",,"$1,500,000.00","$2,400,000.00",,"$1,750,000.00","$4,000,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,"$13,628,049"
83,Mike Montgomery,,,,,,,,,,,,"$246,816.00","$515,000.00","$570,500.00","$611,250.00","$2,440,000.00","$1,148,148.00",,,,,,,,,,,,,,,,,,,,,,,"$5,531,714"
84,Jake Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
85,Blake Swihart,,,,,,,,,,,,"$432,622.00","$518,500.00","$90,613.00","$563,500.00","$768,055.00",,,,,,,,,,,,,,,,,,,,,,,,"$2,373,290"
86,Chris Stratton,,,,,,,,,,,,,"$85,963.00","$248,455.00","$445,500.00","$552,231.00","$217,963.00","$1,100,000.00","$2,700,000.00","$2,800,000.00","$3,500,000.00","$4,500,000.00",,,,,,,,,,,,,,,,,,"$16,150,112"
87,Marcus Stroman,,,,,,,,,,,"$371,584.00","$514,700.00","$515,900.00","$3,400,000.00","$6,500,000.00","$7,400,000.00","$1,061,360.00","$18,900,000.00","$25,000,000.00","$25,000,000.00","$19,000,000.00","$18,000,000.00",,,,,,,,,,,,,,,,,,"$125,663,544"
88,Rafael De Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
89,Kyle Parker,,,,,,,,,,,"$101,092.00","$5,546.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,638"
