Rank,Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Career
77,Eric Hurley,,,,,,,,,,,,,,,,,,,,,,$0.00
78,Troy Patton,,"$390,000.00","$400,000.00",,"$414,000.00","$483,500.00","$815,000.00","$1,100,820.00",,,,,,,,,,,,,,"$3,603,320.00"
79,Hank Conger,,,,,,,,,,,"$950,000.00",,,,,,,,,,,"$950,000.00"
80,Taylor Teagarden,,,"$401,000.00","$407,010.00","$416,790.00","$489,500.00","$650,000.00","$209,972.00","$80,423.00",,,,,,,,,,,,,"$2,654,695.00"
81,Jordan Walden,,,,"$91,803.00","$414,000.00","$495,000.00","$541,500.00","$1,490,000.00","$2,850,000.00","$3,500,000.00","$250,000.00",,,,,,,,,,,"$9,632,303.00"
82,Sean Gallagher,,,,,,,,,,,,,,,,,,,,,,$0.00
83,Phillippe Aumont,"$1,900,000.00",,,,,,"$182,076.00","$35,519.00",,,,,,,,,,,,,,"$2,117,595.00"
84,Tim Alderson,,,,,,,,,,,,,,,,,,,,,,$0.00
85,Bryan Anderson,,,,,,,"$80,327.00",,"$38,825.00",,,,,,,,,,,,,"$119,152.00"
86,Collin Balester,,,,,,,,,"$507,500.00",,,,,,,,,,,,,"$507,500.00"
87,Beau Mills,,,,,,,,,,,,,,,,,,,,,,$0.00
88,Scott Elbert,,,,,,,,"$575,000.00",,,,,,,,,,,,,,"$575,000.00"
89,Steve Pearce,,,,,,,,,,,,,"$6,250,000.00",,,,,,,,,"$6,250,000.00"
90,Joe Savery,,,,,,,"$334,699.00",,,,,,,,,,,,,,,"$334,699.00"
91,Nolan Reimold,,,,"$400,000.00","$414,000.00","$490,500.00","$1,000,000.00","$1,250,000.00","$288,415.00","$1,300,000.00",,,,,,,,,,,,"$5,142,915.00"
92,Gorkys Hernandez,,,,,,,,,"$277,322.00","$113,693.00","$537,000.00","$561,500.00","$155,914.00",,,,,,,,,"$1,645,429.00"
93,Neftali Feliz,,,,"$402,000.00","$457,160.00","$502,000.00","$2,900,000.00","$3,000,000.00","$2,402,431.00","$4,080,000.00","$5,554,610.00",,,,"$52,139.00",,,,,,,"$19,350,340.00"
94,Michael Bowden,,"$390,000.00","$400,000.00","$400,000.00","$417,500.00","$484,000.00","$289,551.00",,,,,,,,,,,,,,,"$2,381,051.00"
95,Hector Gomez,,,,,,"$480,000.00",,"$500,000.00","$343,879.00",,,,,,,,,,,,,"$1,323,879.00"
96,Ryan Kalish,,,,,,,,,,"$507,500.00",,,,,,,,,,,,"$507,500.00"
97,Chris Perez,,"$390,000.00","$402,000.00","$423,800.00","$2,225,000.00","$4,500,000.00","$7,300,000.00","$2,300,000.00","$1,500,000.00",,,,,,,,,,,,,"$19,040,800.00"
98,Greg Reynolds,,,,,,,,,,,,,,,,,,,,,,$0.00
99,Jeff Niemann,,,,,,"$2,750,000.00","$3,000,000.00",,,,,,,,,,,,,,,"$5,750,000.00"
100,Drew Stubbs,,,,"$400,000.00","$450,000.00","$527,500.00","$2,825,000.00","$4,100,000.00","$91,516.00","$293,938.00",,,,,,,,,,,,"$8,687,954.00"
