Rank,Name,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Total
91,Jordan Lyles,,,,,"$414,000.00","$480,000.00","$404,316.00","$502,000.00","$2,475,000.00","$2,975,000.00","$3,265,613.00","$750,000.00","$3,655,614.00","$2,592,593.00","$8,000,000.00","$7,000,000.00","$8,500,000.00","$8,500,000.00",,,,,,,,,,,,,,,,,"$49,514,136"
92,Drew Storen,,,,"$400,000.00","$418,000.00","$498,750.00","$2,500,000.00","$3,450,000.00","$5,700,000.00","$8,375,000.00","$3,150,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$24,491,750"
93,Phillippe Aumont,,,,,,,"$182,076.00","$35,519.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$217,595"
94,Miguel Sano,,,,,,,,,"$263,456.00","$547,500.00","$572,500.00","$463,177.00","$2,650,000.00","$5,111,111.00","$11,000,000.00","$12,000,000.00",,"$875,000.00",,,,,,,,,,,,,,,,,"$33,482,744"
95,Andrew Cashner,,,,"$400,000.00","$427,500.00","$486,100.00","$500,800.00","$2,400,000.00","$4,050,000.00","$7,150,000.00","$10,000,000.00","$9,500,000.00","$12,500,000.00","$1,000,000.00","$1,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,"$50,414,400"
96,Thomas Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
97,Peter Bourjos,,,,"$400,000.00","$414,000.00","$500,000.00","$512,500.00","$1,200,000.00","$1,650,000.00","$2,000,000.00","$1,350,000.00","$1,090,830.00","$215,040.00",,,,,,,,,,,,,,,,,,,,,,"$9,332,370"
98,Jay Jackson,,,,"$55,464.00",,,,,"$55,464.00",,,,"$365,568.00",,"$184,020.00","$807,716.00",,"$1,300,000.00","$200,000.00",,,,,,,,,,,,,,,,"$2,968,232"
99,Jake Arrieta,,,,"$254,945.00","$419,000.00","$488,500.00","$516,500.00","$544,500.00","$3,630,000.00","$10,700,000.00","$15,637,500.00","$30,000,000.00","$25,000,000.00","$7,407,407.00","$6,113,479.00",,,,,,,,,,,,,,,,,,,,"$100,711,831"
100,Noel Arguelles,,,,"$1,380,000.00","$1,380,000.00","$1,380,000.00","$1,380,000.00","$1,380,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,900,000"
